 market , funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year
,"3,705,137",operating,USA,CA,SF Bay Area,Santa Clara,1,1/1/93,1993-01,1993-Q1,1993
 Biotechnology ,"10,000,000",operating,USA,MA,Boston,Lexington,2,1/1/93,1993-01,1993-Q1,1993
 Biotechnology ,"1,500,000",operating,USA,NY,New York City,New York,1,1/1/93,1993-01,1993-Q1,1993
 Biotechnology ,"1,350,000",operating,USA,MN,Minneapolis,Eden Prairie,1,1/1/93,1993-01,1993-Q1,1993
 Enterprise Software ,"1,000,000",operating,USA,CA,SF Bay Area,Sunnyvale,1,1/1/93,1993-01,1993-Q1,1993
 Consulting ,"3,500,000",acquired,USA,TX,Dallas,Irving,1,1/1/93,1993-01,1993-Q1,1993
 Biotechnology ,"280,000",operating,USA,CO,Denver,Centennial,2,1/1/93,1993-01,1993-Q1,1993
 Software , -   ,operating,USA,MI,Traverse City,Cadillac,1,4/7/93,1993-04,1993-Q2,1993
 Transportation , -   ,operating,USA,CA,San Diego,Oceanside,1,2/25/93,1993-02,1993-Q1,1993
, -   ,acquired,USA,CA,SF Bay Area,Menlo Park,1,1/1/93,1993-01,1993-Q1,1993
 Software ,"6,117,000",operating,USA,OH,Cincinnati,Cincinnati,4,1/1/93,1993-01,1993-Q1,1993
,"5,162,513,431",operating,USA,CT,Hartford,Stamford,2,1/1/93,1993-01,1993-Q1,1993
 Biotechnology ,"1,367,369",closed,USA,CA,Los Angeles,City Of Industry,2,1/1/93,1993-01,1993-Q1,1993
, -   ,,USA,UT,Salt Lake City,Murray,1,1/1/93,1993-01,1993-Q1,1993
 Travel ,"291,754,092",acquired,USA,WA,Seattle,Redmond,2,8/1/93,1993-08,1993-Q3,1993
 Software ,"13,154,038",operating,USA,OH,Cincinnati,Cincinnati,2,1/1/93,1993-01,1993-Q1,1993
 Finance ,"60,699,922",operating,USA,FL,Palm Beaches,Boca Raton,3,1/1/93,1993-01,1993-Q1,1993
 Health Care ,"46,500,000",operating,USA,MD,Baltimore,Lutherville Timonium,3,1/1/93,1993-01,1993-Q1,1993
 Retail ,"44,100,000",operating,USA,OH,Cincinnati,Cincinnati,1,1/1/93,1993-01,1993-Q1,1993
 Clean Technology ,"5,900,008",operating,USA,MD,"Washington, D.C.",Germantown,1,1/1/93,1993-01,1993-Q1,1993
 Software ,"500,000",operating,USA,TX,Dallas,Dallas,1,1/1/93,1993-01,1993-Q1,1993
 Mobile ,"764,058",operating,USA,FL,FL - Other,Saint Augustine,4,1/1/93,1993-01,1993-Q1,1993
 Technology ,"50,000,000",operating,USA,PA,Philadelphia,Newtown,1,1/1/93,1993-01,1993-Q1,1993
 Design ,"55,000,000",operating,USA,VA,Richmond,Richmond,1,1/1/93,1993-01,1993-Q1,1993
 Software ,"8,000,000",operating,USA,TX,Austin,Austin,1,1/1/93,1993-01,1993-Q1,1993
 Biotechnology ,"106,023,000",operating,USA,CA,SF Bay Area,San Francisco,2,1/1/93,1993-01,1993-Q1,1993
 Software ,"4,775,000",operating,USA,CT,Hartford,Shelton,2,1/1/93,1993-01,1993-Q1,1993
 Storage ,"20,000,000",acquired,USA,IL,Chicago,Chicago,1,1/1/93,1993-01,1993-Q1,1993
 Clean Technology ,"1,490,000",,USA,NY,New York City,Brooklyn,1,1/1/93,1993-01,1993-Q1,1993
 Health Care ,"550,000",closed,USA,MN,Minneapolis,Eden Prairie,1,1/1/93,1993-01,1993-Q1,1993
, -   ,operating,USA,NJ,NJ - Other,Pine Brook,1,1/1/93,1993-01,1993-Q1,1993
 Telecommunications ,"1,000,000",operating,USA,CA,SF Bay Area,Los Gatos,1,1/1/93,1993-01,1993-Q1,1993
 Nonprofits ,"3,400,000",operating,USA,WA,Seattle,Seattle,1,1/1/93,1993-01,1993-Q1,1993
 Biotechnology ,"275,006",operating,USA,CA,San Diego,San Diego,1,1/1/93,1993-01,1993-Q1,1993
